id,amount_tsh,gps_height,installer,longitude,latitude,basin,subvillage,region,region_code,district_code,lga,ward,population,scheme_management,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group
10996,0,1674,222,34.94362033,-9.35251465,6,4416,3,11,4,91,1947,30,7,0,2008,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1
1739,0,1087,222,31.04608844,-5.05419563,3,2402,5,16,3,31,1291,1750,7,1,2005,9,6,3,7,4,6,6,3,3,1,1,7,5,0,6,5
6017,0,1441,0,34.62104755,-5.16592646,0,5651,18,13,2,109,1425,1,7,2,1970,7,4,2,7,4,6,6,7,5,0,0,3,0,0,1,1
14213,0,0,222,33.72235857,-3.04712172,4,967,17,17,2,58,38,0,9,0,0,8,5,1,11,4,0,2,6,2,1,1,7,5,0,4,3
12277,200,1726,222,34.92959242,-9.15287185,6,5303,3,11,4,91,332,50,7,0,2008,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
5705,0,986,222,35.42444315,-10.57968552,7,3788,16,10,2,111,998,0,7,1,2009,3,1,0,7,4,0,2,6,2,0,0,6,4,1,1,1
9364,0,0,552,35.89487669,-6.14752205,8,657,2,1,5,14,1310,0,7,0,0,7,4,2,7,4,4,5,4,4,0,0,3,0,0,2,1
8941,0,0,222,0,-2.00E-08,4,6687,17,17,1,5,842,0,9,0,0,8,5,1,11,4,5,3,5,4,1,1,7,5,0,4,3
7420,0,1309,73,36.29176128,-5.24231281,0,4268,8,21,5,41,1642,860,7,0,2002,3,1,0,7,4,0,2,6,2,3,3,5,3,1,1,1
13176,5,1564,240,35.6124173,-3.35116762,0,809,0,24,11,27,1679,200,7,1,2002,3,1,0,7,4,4,5,6,2,1,1,6,4,1,1,1
659,0,0,222,32.86178245,-3.92819891,0,7597,19,14,1,94,311,0,7,1,0,7,4,2,7,4,0,2,6,2,1,1,3,0,0,1,1
8543,0,0,885,33.12453405,-4.85766882,3,1153,19,14,3,124,394,0,7,1,0,0,0,1,7,4,0,2,6,2,3,3,7,5,0,4,3
13553,20,1537,240,35.66507527,-3.34770932,0,2756,0,24,11,27,1679,300,7,1,1998,3,1,0,7,4,4,5,0,0,1,1,6,4,1,2,1
7356,500,1489,222,34.72199105,-8.86253212,6,8114,3,11,4,91,342,360,8,1,1978,3,1,0,10,4,3,1,6,2,1,1,6,4,1,1,1
8495,500,1798,222,34.70534261,-9.1394961,6,6511,3,11,4,91,1103,45,8,1,1978,3,1,0,10,4,3,1,6,2,1,1,6,4,1,1,1
5443,0,0,222,38.83713732,-4.77558442,5,4460,20,4,8,68,1000,200,7,1,1971,3,1,0,7,4,0,2,0,0,2,2,8,6,0,1,1
124,1000,1642,149,37.65808091,-3.7238624,5,743,6,3,2,84,180,45,8,0,1972,3,1,0,10,4,3,1,6,2,1,1,8,6,0,1,1
9686,0,362,222,37.47632192,-6.28331307,8,5479,11,5,6,83,258,1,7,1,1984,3,1,0,7,4,0,2,6,2,2,2,6,4,1,1,1
10192,0,0,198,33.32603356,-8.88128573,2,1164,10,12,2,60,1911,0,7,0,0,3,1,0,11,4,5,3,6,2,0,0,6,4,1,1,1
14525,50,128,391,40.04071287,-10.49203103,7,8413,12,99,1,77,1462,400,7,1,2006,13,10,5,7,4,4,5,6,2,1,1,3,0,0,2,1
2041,0,216,222,38.72134804,-5.17252308,5,4361,20,4,3,80,1556,120,7,0,1983,4,2,1,7,4,0,2,6,2,2,2,7,5,0,4,3
10674,0,0,1047,33.14491487,-3.71753771,4,2164,17,17,3,104,1907,0,7,1,0,9,6,3,7,4,0,2,6,2,1,1,3,0,0,2,1
8659,0,0,782,33.33199615,-2.70336413,4,7089,13,19,4,45,1529,0,7,1,0,14,11,1,7,4,0,2,7,5,0,0,7,5,0,4,3
1769,0,0,222,33.13082951,-3.22665421,4,1650,13,19,4,45,224,0,7,1,0,13,10,5,7,4,4,5,6,2,1,1,2,4,1,2,1
12523,0,0,146,33.62516779,-8.86101931,6,1163,10,12,2,60,362,0,7,1,0,3,1,0,11,4,5,3,6,2,0,0,6,4,1,1,1
320,0,0,610,32.35815302,-4.96546043,3,8094,19,14,3,124,1866,0,7,1,0,4,2,1,7,4,5,3,6,2,1,1,3,0,0,4,3
1772,50,1010,360,37.70648416,-4.00583487,5,2514,6,3,3,101,1541,180,11,1,2007,13,10,5,7,4,4,5,4,4,2,2,3,0,0,1,1
2062,0,0,728,33.66386327,-8.98179247,6,4452,10,12,2,60,1883,0,7,0,0,3,1,0,11,4,5,3,6,2,1,1,6,4,1,1,1
10165,0,0,305,33.77857064,-3.06340514,4,6033,17,17,2,58,38,0,11,0,0,3,1,0,4,0,3,1,6,2,1,1,0,1,1,1,1
3044,0,0,0,33.58724528,-9.16743357,1,2918,10,12,4,100,743,0,7,2,0,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
10382,0,1190,222,38.4236917,-4.6312447,5,8209,20,4,1,52,1207,1,7,1,1974,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
8823,1500,642,198,37.12085919,-10.78502855,7,6617,16,10,1,120,801,1,7,0,1992,14,11,1,7,4,3,1,6,2,2,2,3,0,0,4,3
10,0,0,222,33.59072198,-3.71955244,0,7610,17,17,8,40,1823,0,7,1,0,3,1,0,7,4,4,5,6,2,2,2,8,6,0,2,1
10267,0,-5,222,39.56082776,-9.13206159,7,5458,7,80,9,37,1660,530,7,0,2002,13,10,5,7,4,6,6,6,2,4,4,3,0,0,2,1
3184,0,0,344,0,-2.00E-08,4,7014,13,19,6,15,1616,0,7,1,0,9,6,3,7,4,6,6,7,5,0,0,3,0,0,6,5
3527,0,1226,222,33.06230846,-1.82664599,4,3149,13,19,1,121,130,1200,0,1,1999,3,1,0,7,4,0,2,6,2,2,2,8,6,0,5,4
8416,0,1387,305,37.55433946,-3.28942377,5,2072,6,3,4,73,972,1,8,1,1970,3,1,0,10,4,0,2,6,2,2,2,8,6,0,1,1
14457,0,805,198,35.99024647,-10.53404797,6,6290,16,10,5,86,1276,250,9,0,1990,14,11,1,11,4,5,3,6,2,1,1,7,5,0,4,3
12791,0,1544,222,36.61868919,-3.29203785,5,16,0,2,2,0,1654,200,7,1,2004,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1
5258,0,0,1051,33.77914543,-3.32682925,0,1614,17,17,2,58,104,0,9,0,0,8,5,1,11,4,1,4,6,2,1,1,7,5,0,4,3
14431,0,0,897,30.50096464,-2.59036242,4,3157,4,18,11,89,886,0,7,0,0,3,1,0,7,4,0,2,6,2,2,2,8,6,0,6,5
5817,500,1369,308,34.25333419,-1.20066603,4,7815,9,20,6,118,242,560,7,1,2011,0,0,1,7,4,3,1,6,2,1,1,7,5,0,4,3
10370,0,1584,0,34.85944848,-4.97090922,0,4066,18,13,2,109,1328,1,7,2,1990,9,6,3,7,4,6,6,7,5,0,0,7,5,0,6,5
4033,2400,1609,222,35.10908924,-8.18809279,6,3767,3,11,2,79,298,0,7,1,0,14,11,1,7,4,2,0,6,2,1,1,1,0,0,4,3
5311,1000,334,222,36.50348726,-8.55105463,6,1537,11,5,4,122,374,230,0,1,2010,8,5,1,7,4,3,1,6,2,1,1,7,5,0,4,3
13505,0,1070,222,36.80143513,-3.45135176,5,8185,0,2,2,0,1204,150,7,1,1988,3,1,0,7,4,0,2,6,2,1,1,8,6,0,6,5
13986,0,1286,237,37.62786033,-3.13469202,5,1951,6,3,1,96,696,1,1,1,1962,3,1,0,0,0,3,1,6,2,2,2,8,6,0,1,1
9084,0,0,222,0,-2.00E-08,4,3926,13,17,1,54,1557,0,9,0,0,8,5,1,11,4,6,6,6,2,1,1,7,5,0,4,3
10905,7,1624,105,37.22900273,-3.18441406,5,6745,6,3,5,16,892,1,10,1,2008,3,1,0,9,4,4,5,6,2,1,1,8,6,0,1,1
7859,500,1282,305,30.12795597,-4.24867926,3,5623,5,16,2,28,1343,950,11,0,1978,6,10,5,7,4,1,4,6,2,1,1,3,0,0,2,1
1781,500,462,198,37.45782761,-11.20866259,7,8115,16,10,1,120,1440,1,7,0,1986,3,1,0,7,4,3,1,6,2,1,1,6,4,1,1,1
4099,0,0,413,33.16618409,-8.942157,2,6306,10,12,6,62,1689,0,7,0,0,8,5,1,7,4,5,3,6,2,2,2,7,5,0,4,3
3904,0,1571,45,35.52646919,-4.48085439,0,7655,8,21,2,17,261,221,7,1,2008,3,1,0,7,4,0,2,6,2,0,0,8,6,0,1,1
2852,0,1546,222,31.9968789,-8.80386259,2,3425,15,15,2,113,793,50,7,0,1985,4,2,1,7,4,0,2,6,2,1,1,3,0,0,4,3
12669,0,0,305,33.51920554,-3.13524663,4,6133,17,17,2,58,959,0,9,0,0,3,1,0,11,4,4,5,6,2,2,2,3,0,0,2,1
13527,1000,-7,222,39.05964828,-5.28936932,5,2519,20,4,3,80,600,25,7,0,2009,3,1,0,7,4,0,2,6,2,2,2,3,0,0,2,1
5727,7,1133,105,37.22600343,-3.27103862,5,7346,6,3,5,16,892,125,10,1,2008,3,1,0,9,4,4,5,6,2,1,1,8,6,0,1,1
2493,0,0,303,35.56741628,-6.33698054,0,4261,2,1,6,4,271,0,7,1,0,7,4,2,7,4,4,5,6,2,1,1,3,0,0,1,1
4843,500,900,149,37.59031748,-3.7304578,5,4354,6,3,2,84,797,80,10,1,1972,3,1,0,9,4,3,1,6,2,2,2,8,6,0,6,5
2744,0,0,1037,32.0400396,-4.99156819,3,3899,19,14,4,123,1342,0,7,1,0,0,0,1,7,4,0,2,6,2,1,1,7,5,0,4,3
307,0,1237,222,38.46742948,-4.8647269,5,73,20,4,1,52,79,1,7,1,1969,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
8831,0,0,222,31.36783688,-1.06107072,4,372,4,18,7,66,527,0,7,1,0,14,11,1,7,4,0,2,6,2,2,2,7,5,0,4,3
10745,0,0,222,31.12892305,-1.69420356,4,7223,4,18,1,26,1575,0,8,1,0,3,1,0,7,4,2,0,6,2,1,1,8,6,0,1,1
4518,0,1388,171,36.88065592,-3.31430939,5,44,0,2,7,65,940,98,7,1,2007,3,1,0,7,4,6,6,6,2,2,2,8,6,0,1,1
13315,0,0,222,32.05069828,-3.41259554,3,7013,17,17,5,9,1078,0,3,1,0,3,1,0,3,2,6,6,6,2,3,3,5,3,1,1,1
3121,0,0,222,31.83376051,-1.11325712,4,1840,4,18,2,7,708,0,7,1,0,3,1,0,7,4,0,2,6,2,2,2,5,3,1,1,1
4119,0,0,145,35.82452906,-5.30269309,0,1011,2,1,1,42,248,0,7,0,0,7,4,2,7,4,0,2,6,2,1,1,3,0,0,1,1
6558,0,774,722,36.96288481,-7.59517464,6,2578,11,5,1,36,592,300,2,1,0,3,1,0,1,1,0,2,6,2,1,1,8,6,0,1,1
10845,7500,677,235,37.47908238,-3.81858443,5,6623,6,3,2,84,693,320,4,0,2012,2,8,2,4,0,2,0,7,5,1,1,0,1,1,1,1
7543,50,105,222,38.90647215,-6.74295268,8,6132,14,6,2,29,559,1,11,1,2010,7,4,2,7,4,4,5,6,2,1,1,6,4,1,2,1
1124,2000,1764,354,35.77193117,-8.02782346,6,8100,3,11,7,34,1304,1,7,1,2008,14,11,1,7,4,0,2,6,2,1,1,3,0,0,4,3
12216,0,1182,222,35.87050076,-4.13979616,0,7614,8,21,1,2,977,72,7,1,1998,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1
1982,0,1116,222,31.24387308,-6.37911714,2,5744,15,15,1,75,1562,70,11,1,1972,3,1,0,8,0,0,2,6,2,1,1,8,6,0,1,1
11522,300,875,447,36.64437721,-6.81836802,8,7716,11,5,1,36,856,350,7,1,1996,8,5,1,7,4,5,3,6,2,2,2,7,5,0,4,3
5113,0,0,182,32.99693009,-4.19322784,0,5862,19,14,1,94,411,0,7,0,0,8,5,1,7,4,0,2,6,2,1,1,7,5,0,4,3
8790,100,2116,168,33.98504961,-8.9881064,6,4108,3,11,3,55,1208,0,7,0,1974,3,1,0,7,4,5,3,6,2,1,1,8,6,0,1,1
7609,500,2576,168,33.91513217,-9.19113626,1,3705,3,11,3,55,366,0,7,0,1986,3,1,0,7,4,5,3,6,2,1,1,8,6,0,1,1
4841,0,344,466,37.61832784,-6.13357212,8,5532,11,5,6,83,200,20,7,1,2006,9,6,3,7,4,0,2,6,2,1,1,7,5,0,4,3
545,0,0,319,31.53064308,-1.52024104,4,3964,4,18,2,7,110,0,7,1,0,3,1,0,7,4,0,2,6,2,2,2,6,4,1,1,1
6911,0,1006,222,31.14227776,-6.61124387,2,1238,15,15,1,75,1790,50,11,1,1978,3,1,0,8,0,0,2,6,2,1,1,8,6,0,1,1
11320,0,0,996,32.76916953,-3.90293977,0,1557,17,17,3,25,378,0,7,1,0,3,1,0,7,4,4,5,6,2,1,1,8,6,0,2,1
12684,0,0,810,31.6075471,-1.76796453,4,2495,4,18,3,81,518,0,7,1,0,6,10,5,7,4,0,2,6,2,1,1,8,6,0,1,1
13492,10,1633,482,37.57594115,-7.08503792,8,5418,11,5,6,83,1833,60,7,1,2004,3,1,0,7,4,4,5,6,2,1,1,6,4,1,1,1
4645,0,24,222,38.91481877,-8.78594686,7,5459,7,80,9,37,1538,390,0,1,2011,8,5,1,7,4,0,2,6,2,1,1,7,5,0,4,3
3529,0,0,0,32.30554915,-3.50805245,3,5319,17,17,5,9,843,0,0,0,0,9,6,3,6,3,6,6,7,5,4,4,9,2,2,4,3
3598,0,1569,981,34.97643178,-8.82935561,6,6908,3,11,4,91,933,40,7,0,2009,8,5,1,7,4,0,2,6,2,1,1,1,0,0,4,3
4946,250,1610,401,30.03071578,-4.43392653,3,1871,5,16,2,28,1322,650,11,1,1999,3,1,0,9,4,3,1,6,2,1,1,8,6,0,1,1
825,500,1504,222,38.24442402,-4.4588915,5,5573,20,4,1,52,1216,1,7,1,1971,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
6598,0,0,0,33.81466822,-9.26881883,1,1696,10,12,4,100,444,0,7,2,0,3,1,0,7,4,6,6,6,2,4,4,8,6,0,1,1
8880,20,1721,973,35.02234242,-4.18404892,0,4948,8,21,3,63,251,192,7,1,1994,13,10,5,7,4,4,5,6,2,1,1,3,0,0,1,1
12470,0,0,881,32.94718642,-4.99483567,3,4168,19,14,6,115,412,0,7,1,0,9,6,3,7,4,0,2,6,2,0,0,7,5,0,6,5
12946,100,78,1,39.08342696,-7.0035038,8,5506,1,7,2,20,140,250,4,0,2010,13,10,5,4,0,4,5,6,2,1,1,1,0,0,1,1
13723,1000,1620,197,35.56771838,-7.94158325,6,2724,3,11,1,24,1271,1,7,1,1982,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
7,50,1414,222,36.67432678,-3.35742512,5,7499,0,2,2,0,681,200,7,1,2000,3,1,0,7,4,4,5,6,2,2,2,8,6,0,1,1
4653,0,0,0,33.91187132,-9.34663784,1,1534,10,12,4,100,404,0,7,2,0,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
7624,0,1982,666,31.63874388,-8.11393053,3,4910,15,15,4,114,1671,0,7,1,1984,3,1,0,7,4,0,2,6,2,0,0,6,4,1,1,1
3312,100,876,198,36.00884449,-10.73030401,7,2437,16,10,5,86,1179,200,9,0,1998,14,11,1,11,4,3,1,6,2,2,2,7,5,0,4,3
8637,0,1623,0,34.85774806,-4.96565066,0,4066,18,13,2,109,1328,25,1,2,2000,13,10,5,0,0,0,2,6,2,2,2,3,0,0,1,1
8899,0,0,222,31.45209393,-1.45098903,4,3354,4,18,2,7,1704,0,7,1,0,14,11,1,7,4,0,2,6,2,2,2,7,5,0,4,3
7756,0,0,222,33.66932264,-3.66413309,0,5925,17,17,8,40,1872,0,7,0,0,3,1,0,7,4,6,6,6,2,2,2,6,4,1,2,1
2734,100,472,626,37.75333011,-6.91532531,8,7993,11,5,2,71,663,250,7,1,2004,3,1,0,7,4,3,1,6,2,1,1,6,4,1,1,1
12110,0,1639,222,37.47825262,-3.2671678,5,4023,6,3,4,73,627,70,2,1,1972,3,1,0,1,1,0,2,6,2,1,1,6,4,1,1,1
6301,0,0,222,32.12395834,-4.21150952,3,2066,17,17,3,25,1884,0,0,1,0,8,5,1,11,4,6,6,6,2,2,2,7,5,0,4,3
13631,20,173,1010,38.35640398,-6.64287516,8,4511,14,6,1,3,136,150,8,1,2010,6,10,5,10,4,4,5,6,2,1,1,6,4,1,1,1
5074,0,697,222,34.6675289,-10.44890839,1,2750,3,11,5,51,1020,60,7,0,1984,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
11036,0,1989,168,34.23757868,-9.38027549,1,7754,3,11,3,55,861,0,7,0,1984,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
6304,5,1093,222,37.27313434,-3.28468532,5,5763,6,3,4,73,658,20,10,1,2007,3,1,0,9,4,4,5,6,2,1,1,6,4,1,1,1
14254,0,0,413,32.88527532,-8.98348456,2,4466,10,12,6,62,1274,0,7,0,0,8,5,1,7,4,5,3,6,2,1,1,7,5,0,4,3
12098,0,2012,969,34.740896,-9.39969423,6,2235,3,11,4,91,1916,80,7,1,2002,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
5671,500,1274,76,34.98990302,-10.94025521,1,4598,16,10,3,61,1075,260,10,1,2002,3,1,0,9,4,3,1,6,2,1,1,8,6,0,1,1
1747,100,2132,168,34.21215284,-9.45018053,1,1345,3,11,3,55,1878,0,7,0,2002,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
9648,0,0,996,32.75733701,-3.94044709,3,7874,17,17,3,25,378,0,7,1,0,3,1,0,7,4,4,5,6,2,1,1,8,6,0,2,1
9902,0,1287,534,33.86144433,-1.98006878,4,2243,9,20,4,10,85,200,8,1,1972,3,1,0,10,4,6,6,6,2,0,0,2,4,1,2,1
7590,0,1306,680,36.89963137,-3.11331959,0,7919,0,2,7,65,1504,250,7,1,2010,3,1,0,10,4,6,6,6,2,2,2,8,6,0,1,1
6011,0,1339,222,34.07442773,-2.99369841,4,5796,17,17,1,5,1553,250,9,0,1998,8,5,1,11,4,0,2,6,2,1,1,7,5,0,4,3
1597,0,0,506,32.92057868,-2.47456022,4,2,13,19,8,22,343,0,4,1,0,8,5,1,4,0,0,2,4,4,1,1,7,5,0,4,3
719,0,0,507,37.21538421,-6.51840064,8,5477,11,5,1,36,1282,189,7,1,2005,13,10,5,7,4,0,2,4,4,1,1,3,0,0,1,1
11411,0,1193,222,38.48246991,-4.6185188,5,3319,20,4,1,52,1533,1,7,1,2010,14,11,1,7,4,0,2,4,4,1,1,7,5,0,4,3
13780,0,0,711,0,-2.00E-08,4,1288,13,19,6,15,475,0,7,1,0,4,2,1,7,4,0,2,6,2,2,2,3,0,0,4,3
1727,0,1042,198,35.7588964,-10.5153101,1,5578,16,10,5,86,1276,180,9,0,1983,14,11,1,11,4,5,3,6,2,2,2,7,5,0,4,3
14816,0,0,290,35.84163553,-6.77170227,6,1407,2,1,4,11,995,0,7,1,0,7,4,2,7,4,6,6,6,2,2,2,3,0,0,2,1
7466,50,720,553,39.24118301,-10.87948265,7,4335,12,90,12,88,1217,850,7,0,1996,3,1,0,7,4,4,5,6,2,2,2,8,6,0,1,1
6538,0,0,996,33.18150167,-4.20028394,0,2975,19,14,1,94,1635,0,11,1,0,6,10,5,8,0,0,2,0,0,2,2,0,1,1,1,1
13889,0,1682,452,37.58743816,-3.21965387,5,3238,6,3,1,96,1769,1,1,1,2000,3,1,0,0,0,3,1,6,2,1,1,8,6,0,1,1
13741,5,942,105,37.15330819,-3.33484802,5,2363,6,3,5,16,250,50,10,1,1999,3,1,0,9,4,4,5,6,2,1,1,8,6,0,1,1
10361,0,0,290,36.15989877,-5.56955781,8,3989,2,1,4,11,1749,0,7,1,0,7,4,2,7,4,6,6,6,2,0,0,3,0,0,2,1
11103,0,0,226,32.97098153,-3.73365859,0,6679,17,17,3,104,347,0,9,1,0,14,11,1,11,4,0,2,6,2,0,0,7,5,0,4,3
3536,0,1171,222,33.09373422,-2.03466061,4,4784,13,19,1,121,64,350,0,1,1990,14,11,1,7,4,0,2,0,0,3,3,7,5,0,4,3
14366,50,110,222,38.86003518,-6.7832854,8,8312,14,6,2,29,1794,100,3,1,1986,7,4,2,7,4,4,5,6,2,0,0,6,4,1,6,5
10303,0,0,222,0,-2.00E-08,4,3923,17,17,1,5,228,0,9,0,0,8,5,1,11,4,6,6,6,2,1,1,7,5,0,4,3
14767,0,0,168,35.75457603,-6.33126372,6,5744,2,1,5,14,1257,0,7,0,0,7,4,2,7,4,4,5,6,2,1,1,3,0,0,2,1
13405,0,0,413,32.93155539,-9.26673527,1,1096,10,12,6,62,384,0,7,0,0,8,5,1,7,4,5,3,6,2,1,1,7,5,0,4,3
11791,0,951,222,29.88877545,-5.31079128,3,2104,5,16,3,31,1819,300,7,1,1999,8,5,1,7,4,6,6,6,2,1,1,7,5,0,4,3
532,0,0,164,31.32170771,-2.66167239,3,7075,4,18,4,6,26,0,7,1,0,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1
13839,500,439,198,34.84589302,-11.32726797,1,2106,16,10,3,61,638,96,7,1,1992,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
2464,0,1111,222,30.36036456,-4.86323549,3,2356,5,16,2,31,1915,740,11,0,2007,8,5,1,7,4,0,2,6,2,1,1,7,5,0,4,3
3313,0,0,413,32.72547129,-8.84626582,2,7675,10,12,6,62,1445,0,7,0,0,9,6,3,7,4,0,2,6,2,3,3,7,5,0,6,5
4804,0,1827,56,35.76559605,-8.08149573,6,4764,3,11,7,34,1875,400,7,1,2009,4,2,1,7,4,0,2,6,2,1,1,3,0,0,4,3
11748,0,0,168,35.94820405,-6.14209678,8,3682,2,1,5,14,1310,0,7,0,0,7,4,2,7,4,4,5,6,2,0,0,3,0,0,2,1
3407,50,137,202,38.9532646,-6.81055717,8,182,14,6,2,29,1848,1,11,1,2007,7,4,2,7,4,4,5,6,2,1,1,6,4,1,2,1
617,0,1345,222,30.86837823,-3.37881268,3,1913,5,16,1,30,511,250,7,0,2010,13,10,5,7,4,6,6,6,2,2,2,3,0,0,1,1
534,0,1444,0,34.7093461,-5.19063734,0,2707,18,13,2,109,333,1,7,2,1960,7,4,2,7,4,6,6,7,5,0,0,3,0,0,1,1
5142,0,212,274,39.66918663,-10.8580047,7,8211,12,9,4,116,1472,300,10,1,1982,13,10,5,7,4,0,2,6,2,0,0,3,0,0,2,1
12742,0,1266,80,36.98730137,-3.25011669,5,4067,0,2,7,65,794,500,8,0,2011,3,1,0,10,4,6,6,6,2,2,2,5,3,1,2,1
9983,0,0,168,36.0048759,-6.21749098,8,5744,2,1,5,14,615,0,7,0,0,7,4,2,7,4,3,1,6,2,0,0,3,0,0,1,1
13632,0,910,806,36.93159083,-3.57466784,5,2235,8,21,4,108,1762,200,0,1,2000,8,5,1,11,4,6,6,4,4,2,2,7,5,0,4,3
4237,0,0,319,33.24384162,-2.90287945,4,5941,13,19,7,67,1390,0,7,1,0,14,11,1,7,4,0,2,7,5,4,4,3,0,0,4,3
14371,0,0,23,33.23557581,-3.85032443,0,2177,17,17,3,104,1896,0,9,0,0,8,5,1,11,4,0,2,6,2,3,3,7,5,0,4,3
3353,0,1285,557,37.03823817,-3.19868895,5,7109,6,3,7,106,1777,1,10,1,2009,3,1,0,9,4,3,1,6,2,1,1,8,6,0,1,1
3076,0,1570,779,35.1018841,-9.19269342,6,3689,3,11,4,91,590,30,7,1,1994,3,1,0,7,4,0,2,6,2,0,0,6,4,1,1,1
9543,0,0,0,31.81285612,-1.30123857,4,383,4,18,6,8,462,0,7,0,0,3,1,0,7,4,0,2,6,2,2,2,5,3,1,1,1
126,200,379,205,38.36849286,-10.93384583,7,7931,12,90,17,87,1460,150,3,1,2008,4,2,1,3,2,4,5,4,4,1,1,3,0,0,4,3
10840,0,0,344,33.37815286,-2.79280896,4,351,13,19,4,45,1358,0,7,1,0,9,6,3,7,4,0,2,6,2,3,3,7,5,0,6,5
